signature,sequence,value,length
(((4*6)-5)-2)*3,"3,4,6,*,5,-,2,-,*",51,5
(((4+6)*5)-2)+3,"3,5,4,6,+,*,2,-,+",51,5
(((5*6)+4)/2)*3,"3,4,5,6,*,+,2,/,*",51,5
((2*5*6)-4)+3,"3,2,5,6,*,*,4,-,+",59,5
((2+3)*(4+5))+6,"6,3,2,+,5,4,+,*,+",51,5
((2+4)*(3+6))+5,"5,3,6,+,2,4,+,*,+",59,5
((4*6)-(2+5))*3,"3,4,6,*,5,2,+,-,*",51,5
((4*5)-(6/2))*3,"3,4,5,*,6,2,/,-,*",51,5
(((4*6)/2)+5)*3,"3,5,4,6,*,2,/,+,*",51,5
(((4*6)-5)*3)+2,"2,3,4,6,*,5,-,*,+",59,5
((2+3+4)*5)+6,"6,5,4,3,2,+,+,*,+",51,5
((2+3+4)*6)+5,"5,6,4,2,3,+,+,*,+",59,5
(((4*6)+3)*2)+5,"5,2,3,4,6,*,+,*,+",59,5
(((4/2)*6)+5)*3,"3,5,6,4,2,/,*,+,*",51,5
(((4-2)*6)+5)*3,"3,5,6,4,2,-,*,+,*",51,5
(5-((2-4)*6))*3,"3,5,6,2,4,-,*,-,*",51,5
(((6/2)*4)+5)*3,"3,5,4,6,2,/,*,+,*",51,5
3-(4-(2*5*6)),"3,4,2,5,6,*,*,-,-",59,5
3-(2-((4+6)*5)),"3,2,5,4,6,+,*,-,-",51,5
(2+4+5+6)*3,"3,2,4,5,6,+,+,+,*",51,5
((3+6)*5)+2+4,"2,4,5,3,6,+,*,+,+",51,5
((4+5)*6)+2+3,"2,3,6,5,4,+,*,+,+",59,5
2-((5-(4*6))*3),"2,3,5,4,6,*,-,*,-",59,5
((2+6)*(3+5))-4,"2,6,+,5,3,+,*,4,-",60,5
(((3*6)-5)*4)-2,"4,3,6,*,5,-,*,2,-",50,5
(((5*6)-3)*2)-4,"2,5,6,*,3,-,*,4,-",50,5
((2+4)*5*6)/3,"5,6,4,2,+,*,*,3,/",60,5
((2*4*6)+5)-3,"5,4,2,6,*,*,+,3,-",50,5
(((3+5)*6)+4)-2,"4,6,5,3,+,*,+,2,-",50,5
((5-2)*3*6)-4,"3,6,5,2,-,*,*,4,-",50,5
(((4*5)+2)*3)-6,"3,2,4,5,*,+,*,6,-",60,5
((3+5)*6)-(2-4),"6,3,5,+,*,2,4,-,-",50,5
((4+6)*5)/(3-2),"5,4,6,+,*,3,2,-,/",50,5
(2*5*6)/(4-3),"2,5,6,*,*,4,3,-,/",60,5
(2*4*6)-(3-5),"2,4,6,*,*,3,5,-,-",50,5
((3+5)-2)*(4+6),"4,6,+,5,3,+,2,-,*",60,5
((5*6)/3)*(2+4),"2,4,+,5,6,*,3,/,*",60,5
((2+3)*4)+(5*6),"5,6,*,4,2,3,+,*,+",50,5
(2*4*6)+(5-3),"5,3,-,4,2,6,*,*,+",50,5
(3-(2-5))*(4+6),"4,6,+,3,2,5,-,-,*",60,5
((5-2)+3)*(4+6),"4,6,+,3,5,2,-,+,*",60,5
(4+6)*(5/(3-2)),"4,6,+,5,3,2,-,/,*",50,5
((3-2)+5)*(4+6),"4,6,+,5,3,2,-,+,*",60,5
(4+6)*(5-(2-3)),"4,6,+,5,2,3,-,-,*",60,5
((2+3)*6)+(4*5),"4,5,*,6,3,2,+,*,+",50,5
