signature,sequence,value,length
((4-2)*5*6)-3,"5,6,4,2,-,*,*,3,-",57,5
((2+4+6)*5)-3,"5,4,2,6,+,+,*,3,-",57,5
((6/2)*4*5)-3,"4,5,6,2,/,*,*,3,-",57,5
(((4+5)*6)+2)-3,"2,6,4,5,+,*,+,3,-",53,5
((4+5)*6)-(3-2),"6,4,5,+,*,3,2,-,-",53,5
(3*4*5)-(6/2),"3,4,5,*,*,6,2,/,-",57,5
(2*5*6)-(3+4),"2,5,6,*,*,3,4,+,-",53,5
((3*5)+4)*(6/2),"6,2,/,4,5,3,*,+,*",57,5
((3+6)*5)+(2*4),"2,4,*,5,3,6,+,*,+",53,5
((4+5)*6)+(2-3),"2,3,-,6,5,4,+,*,+",53,5
(((4+5)*6)-3)+2,"2,6,4,5,+,*,3,-,+",53,5
(((5*6)/2)+4)*3,"3,4,5,6,*,2,/,+,*",57,5
(((2*3)+6)*4)+5,"5,4,6,2,3,*,+,*,+",53,5
((6-2)*3*4)+5,"5,3,4,6,2,-,*,*,+",53,5
(((2*6)+4)*3)+5,"5,3,4,2,6,*,+,*,+",53,5
5-((2-6)*3*4),"5,3,4,2,6,-,*,*,-",53,5
((2*4)+5+6)*3,"3,5,6,2,4,*,+,+,*",57,5
(((6/2)*5)+4)*3,"3,4,5,6,2,/,*,+,*",57,5
2-(3-((4+5)*6)),"2,3,6,5,4,+,*,-,-",53,5
((3*4*5)-6)-2,"3,4,5,*,*,6,-,2,-",52,5
((3*4*5)-2)-6,"3,4,5,*,*,2,-,6,-",52,5
((6-3)*4*5)-2,"4,5,6,3,-,*,*,2,-",58,5
((3+5)*2*4)-6,"2,4,3,5,+,*,*,6,-",58,5
(3*4*5)-(2+6),"3,4,5,*,*,2,6,+,-",52,5
((4*6)+2)*(5-3),"5,3,-,2,4,6,*,+,*",52,5
(2*4*5)+(3*6),"3,6,*,4,5,2,*,*,+",58,5
((2+6)*5)+(3*4),"3,4,*,5,2,6,+,*,+",52,5
((3+4)*6)+(2*5),"2,5,*,6,3,4,+,*,+",52,5
(((2*5)+6)-3)*4,"4,6,2,5,*,+,3,-,*",52,5
(((6-3)*5)-2)*4,"4,5,6,3,-,*,2,-,*",52,5
(((3+6)*2)-5)*4,"4,2,3,6,+,*,5,-,*",52,5
(((4*6)+5)-3)*2,"2,5,4,6,*,+,3,-,*",52,5
(((3+4)*5)-6)*2,"2,5,4,3,+,*,6,-,*",58,5
(((3+5)*4)-6)*2,"2,4,3,5,+,*,6,-,*",52,5
(((5*6)+3)-4)*2,"2,3,5,6,*,+,4,-,*",58,5
(((5+6)*3)-4)*2,"2,3,5,6,+,*,4,-,*",58,5
((2*5)+(6-3))*4,"4,2,5,*,6,3,-,+,*",52,5
((2*5)-(3-6))*4,"4,2,5,*,3,6,-,-,*",52,5
((5*6)-(4-3))*2,"2,5,6,*,4,3,-,-,*",58,5
((4*6)-(3-5))*2,"2,4,6,*,3,5,-,-,*",52,5
((4*6)+(5-3))*2,"2,4,6,*,5,3,-,+,*",52,5
((3-4)+(5*6))*2,"2,3,4,-,5,6,*,+,*",58,5
(((3*5)-2)*4)+6,"6,4,3,5,*,2,-,*,+",58,5
(((2*5)-3)+6)*4,"4,6,2,5,*,3,-,+,*",52,5
(((5*6)-3)*2)+4,"4,2,5,6,*,3,-,*,+",58,5
(((4*6)-3)+5)*2,"2,5,4,6,*,3,-,+,*",52,5
(((5*6)-4)+3)*2,"2,3,5,6,*,4,-,+,*",58,5
(((4*5)+3)*2)+6,"6,2,3,5,4,*,+,*,+",52,5
6-((2-(3*5))*4),"6,4,2,5,3,*,-,*,-",58,5
(((2*5)+3)*4)+6,"6,4,3,5,2,*,+,*,+",58,5
(6-(3-(2*5)))*4,"4,6,3,5,2,*,-,-,*",52,5
4-((3-(5*6))*2),"4,2,3,5,6,*,-,*,-",58,5
4-((2-5)*3*6),"4,3,6,2,5,-,*,*,-",58,5
(((2*5)+6)*3)+4,"4,3,6,5,2,*,+,*,+",52,5
((5-2)*3*6)+4,"4,3,6,5,2,-,*,*,+",58,5
(5-(3-(4*6)))*2,"2,5,3,4,6,*,-,-,*",52,5
((3+5+6)*4)+2,"2,4,3,5,6,+,+,*,+",58,5
((4*5)+3+6)*2,"2,3,6,5,4,*,+,+,*",58,5
(3-(4-(5*6)))*2,"2,3,4,5,6,*,-,-,*",58,5
((2+6)*(3+4))-5,"2,6,+,4,3,+,*,5,-",51,5
((2+5)*(3+6))-4,"2,5,+,3,6,+,*,4,-",59,5
(((4*5)-3)*6)/2,"6,4,5,*,3,-,*,2,/",51,5
(((3*6)-2)*4)-5,"4,3,6,*,2,-,*,5,-",59,5
(((3*4)+5)*6)/2,"6,5,4,3,*,+,*,2,/",51,5
(((4+6)*5)+3)-2,"3,5,4,6,+,*,+,2,-",51,5
(((5*6)+4)*3)/2,"3,4,5,6,*,+,*,2,/",51,5
((2*5*6)+3)-4,"3,2,5,6,*,*,+,4,-",59,5
((4+6)*5)-(2-3),"5,4,6,+,*,2,3,-,-",51,5
(2*5*6)-(4-3),"2,5,6,*,*,4,3,-,-",59,5
((4*5)-3)*(6/2),"6,2,/,4,5,*,3,-,*",51,5
((3*4)+5)*(6/2),"6,2,/,5,4,3,*,+,*",51,5
((2+4)*6)+(3*5),"3,5,*,6,2,4,+,*,+",51,5
(2*5*6)+(3-4),"3,4,-,2,5,6,*,*,+",59,5
((4+6)*5)+(3-2),"3,2,-,5,4,6,+,*,+",51,5
(((4*6)-2)-5)*3,"3,4,6,*,2,-,5,-,*",51,5
